imageset,imagename,imagewidth,imageheight,class,difficulty,pose,truncated,xmin,xmax,ymin,ymax
test,000053,500,375,cat,0,Unspecified,0,36,425,12,262
test,000054,500,375,bus,0,Unspecified,0,24,472,54,292
test,000055,500,333,motorbike,0,Unspecified,0,209,275,132,222
test,000055,500,333,person,0,Unspecified,0,219,273,107,187
test,000055,500,333,person,1,Unspecified,1,465,483,273,324
test,000055,500,333,person,0,Unspecified,1,436,456,279,327
test,000056,500,334,horse,0,Frontal,1,165,387,60,334
test,000057,500,375,bird,0,Left,0,133,385,53,358
test,000058,500,375,person,0,Unspecified,0,334,436,1,373
test,000058,500,375,person,0,Unspecified,0,196,309,80,326
test,000058,500,375,person,0,Unspecified,0,279,334,53,267
test,000058,500,375,motorbike,0,Unspecified,1,29,359,109,375
test,000059,375,500,tvmonitor,0,Frontal,0,88,142,161,206
test,000059,375,500,tvmonitor,0,Frontal,0,177,273,135,200
test,000059,375,500,person,0,Unspecified,1,110,328,210,500
test,000059,375,500,person,0,Unspecified,1,72,115,272,356
test,000059,375,500,person,0,Unspecified,1,125,171,274,353
test,000059,375,500,chair,1,Unspecified,1,285,349,397,500
test,000062,500,333,sheep,0,Right,0,58,271,188,310
test,000067,500,272,aeroplane,0,Right,0,44,450,72,210
test,000068,500,375,bird,0,Right,1,27,266,45,375
test,000069,500,375,boat,0,Left,0,19,424,64,190
test,000069,500,375,person,0,Frontal,0,305,390,155,375
test,000070,500,375,pottedplant,0,Unspecified,0,358,378,163,197
test,000070,500,375,pottedplant,1,Unspecified,0,313,358,156,198
test,000071,500,375,car,0,Left,0,61,443,75,274
test,000074,500,375,car,0,Rear,0,58,475,61,283
test,000075,332,500,dog,0,Frontal,0,102,222,83,348
test,000076,500,375,person,0,Frontal,1,63,265,78,375
test,000076,500,375,person,0,Frontal,1,257,448,75,375
test,000076,500,375,person,0,Rear,1,362,446,130,261
test,000076,500,375,person,0,Unspecified,1,472,500,157,343
test,000076,500,375,person,0,Unspecified,1,457,478,209,255
test,000076,500,375,person,0,Rear,1,439,458,170,216
test,000076,500,375,person,0,Unspecified,1,247,288,142,197
test,000076,500,375,person,0,Unspecified,0,44,84,162,286
test,000076,500,375,person,0,Unspecified,1,77,120,157,245
test,000076,500,375,person,0,Rear,1,1,26,159,283
test,000076,500,375,person,0,Right,0,24,45,174,201
test,000079,500,357,dog,0,Unspecified,1,1,390,53,357
test,000080,500,375,boat,1,Unspecified,0,440,455,226,261
test,000080,500,375,boat,1,Unspecified,0,398,421,216,306
test,000080,500,375,boat,1,Unspecified,0,307,320,229,259
test,000080,500,375,boat,0,Unspecified,0,246,269,202,282
test,000080,500,375,boat,1,Unspecified,0,187,209,223,287
test,000080,500,375,boat,1,Unspecified,0,186,210,202,263
test,000080,500,375,boat,0,Unspecified,0,70,111,243,274
test,000080,500,375,boat,1,Unspecified,1,1,38,276,300
test,000080,500,375,boat,1,Unspecified,0,12,33,240,258
test,000082,500,333,car,0,Unspecified,0,22,493,93,298
test,000082,500,333,car,0,Unspecified,1,1,207,1,88
test,000084,500,375,chair,0,Unspecified,0,339,390,156,235
test,000084,500,375,chair,0,Left,0,291,346,171,273
test,000084,500,375,chair,1,Unspecified,1,224,263,165,185
test,000084,500,375,chair,0,Right,0,142,193,174,276
test,000084,500,375,chair,0,Rear,0,232,291,192,303
test,000084,500,375,sofa,1,Unspecified,1,1,139,276,375
test,000084,500,375,diningtable,0,Unspecified,0,156,332,182,281
test,000085,500,330,chair,1,Unspecified,1,6,218,104,278
test,000085,500,330,diningtable,1,Unspecified,1,181,499,175,329
test,000085,500,330,person,0,Unspecified,1,22,254,70,327
test,000085,500,330,person,0,Unspecified,1,338,500,12,199
test,000086,500,333,dog,0,Left,0,308,356,131,173
test,000086,500,333,dog,1,Unspecified,0,224,274,143,182
test,000086,500,333,dog,1,Unspecified,0,270,298,125,153
test,000087,333,500,train,0,Left,0,120,318,166,204
test,000088,500,375,train,0,Frontal,1,123,500,7,365
test,000090,500,333,chair,0,Left,0,193,346,65,278
test,000090,500,333,person,0,Left,0,33,307,33,255
test,000090,500,333,person,1,Unspecified,1,140,416,209,333
test,000092,500,375,cat,0,Unspecified,0,2,413,66,333
test,000094,500,333,motorbike,0,Right,1,16,500,1,333
test,000094,500,333,motorbike,1,Unspecified,1,1,144,54,161
test,000096,330,500,person,0,Frontal,1,2,176,144,500
test,000096,330,500,person,0,Frontal,1,140,330,109,500
test,000097,500,375,sofa,0,Unspecified,1,58,270,174,285
test,000097,500,375,chair,0,Right,1,1,156,220,375
test,000097,500,375,person,0,Unspecified,1,208,267,139,235
test,000098,360,270,cat,0,Unspecified,1,69,317,70,162
test,000100,432,256,train,0,Left,1,3,432,47,222
test,000103,500,375,car,0,Unspecified,1,1,47,241,276
test,000103,500,375,car,0,Unspecified,0,26,85,234,265
test,000103,500,375,car,0,Unspecified,0,98,143,222,252
test,000103,500,375,car,1,Unspecified,0,183,203,217,230
test,000103,500,375,car,1,Unspecified,0,201,213,211,223
test,000103,500,375,car,1,Unspecified,0,160,179,218,229
test,000103,500,375,car,1,Unspecified,0,55,93,223,238
test,000103,500,375,car,1,Unspecified,0,29,61,227,236
test,000103,500,375,car,1,Unspecified,1,1,30,230,242
test,000105,500,333,boat,0,Frontal,1,22,320,1,314
test,000105,500,333,person,0,Frontal,1,202,295,71,215
test,000105,500,333,person,0,Frontal,1,170,239,107,206
test,000106,500,333,bird,0,Unspecified,0,181,368,96,252
test,000108,500,375,dog,0,Unspecified,0,313,500,131,235
test,000108,500,375,dog,0,Unspecified,0,1,305,103,262
test,000108,500,375,sofa,0,Unspecified,1,1,500,59,375
test,000111,500,375,person,0,Right,1,415,500,270,375
test,000111,500,375,person,1,Unspecified,0,337,356,182,206
test,000111,500,375,person,1,Unspecified,0,291,309,177,202
test,000111,500,375,person,1,Unspecified,0,278,300,185,212
test,000111,500,375,person,1,Unspecified,0,233,253,176,202
test,000111,500,375,person,1,Unspecified,0,221,249,184,216
test,000111,500,375,person,1,Unspecified,0,185,209,187,214
test,000111,500,375,person,1,Unspecified,0,178,201,177,200
test,000111,500,375,person,0,Left,0,149,171,186,213
test,000111,500,375,person,0,Left,0,112,135,186,222
test,000111,500,375,motorbike,0,Left,0,92,141,198,227
test,000111,500,375,bicycle,1,Unspecified,0,142,177,206,222
test,000111,500,375,bicycle,1,Unspecified,0,179,213,205,222
test,000111,500,375,bicycle,1,Unspecified,1,174,190,192,209
test,000111,500,375,bicycle,1,Unspecified,0,218,251,205,216
test,000111,500,375,bicycle,1,Unspecified,1,242,260,197,210
test,000111,500,375,bicycle,1,Unspecified,0,275,306,202,216
test,000111,500,375,bicycle,1,Unspecified,1,302,318,198,209
test,000111,500,375,bicycle,1,Unspecified,0,333,362,192,210
test,000111,500,375,chair,1,Unspecified,0,345,404,230,278
test,000114,500,375,cat,0,Frontal,1,158,432,64,365
test,000115,375,500,bird,0,Unspecified,0,1,247,219,437
test,000116,375,500,sofa,1,Unspecified,0,44,323,189,359
test,000116,375,500,chair,0,Unspecified,1,1,45,185,302
test,000116,375,500,pottedplant,0,Unspecified,0,2,106,97,273
test,000116,375,500,pottedplant,0,Unspecified,0,192,277,96,202
test,000119,500,375,cat,0,Unspecified,1,107,309,96,348
test,000124,500,375,person,0,Unspecified,1,2,104,6,146
test,000124,500,375,person,0,Unspecified,1,230,320,25,138
test,000124,500,375,person,0,Unspecified,1,78,478,15,375
test,000124,500,375,pottedplant,0,Unspecified,1,70,227,2,127
test,000124,500,375,chair,1,Unspecified,1,419,500,278,375
test,000126,500,215,diningtable,1,Unspecified,1,429,499,176,211
test,000126,500,215,diningtable,0,Unspecified,1,78,259,182,215
test,000126,500,215,diningtable,1,Unspecified,1,291,383,162,193
test,000126,500,215,chair,1,Unspecified,1,373,433,171,214
test,000126,500,215,chair,1,Unspecified,1,351,373,165,211
test,000126,500,215,chair,1,Unspecified,1,388,418,156,175
test,000126,500,215,chair,1,Unspecified,1,316,356,165,213
test,000126,500,215,chair,1,Unspecified,1,295,310,157,164
test,000126,500,215,chair,1,Unspecified,1,281,309,158,206
test,000126,500,215,chair,1,Unspecified,1,274,282,158,171
test,000126,500,215,chair,1,Unspecified,1,259,291,172,214
test,000126,500,215,chair,1,Unspecified,1,235,260,164,186
test,000126,500,215,chair,1,Unspecified,1,252,266,159,169
test,000126,500,215,chair,1,Unspecified,1,174,208,163,180
test,000126,500,215,chair,1,Unspecified,1,117,179,179,213
test,000126,500,215,chair,1,Unspecified,1,97,129,165,189
test,000126,500,215,chair,1,Unspecified,1,123,134,164,174
test,000126,500,215,chair,1,Unspecified,1,85,94,161,189
test,000126,500,215,chair,1,Unspecified,1,53,79,162,211
test,000126,500,215,person,1,Unspecified,1,458,495,136,175
test,000126,500,215,person,1,Unspecified,1,47,77,139,164
test,000126,500,215,person,1,Unspecified,1,37,51,140,167
test,000126,500,215,person,1,Unspecified,1,12,37,140,172
test,000127,500,375,bird,1,Unspecified,0,338,427,155,234
test,000127,500,375,bird,1,Unspecified,0,312,408,192,284
test,000127,500,375,bird,0,Right,0,238,341,215,318
test,000127,500,375,bird,0,Rear,0,173,231,226,375
test,000127,500,375,person,0,Unspecified,1,68,371,21,375
test,000128,500,367,aeroplane,0,Right,0,53,458,117,231
test,000128,500,367,person,1,Unspecified,1,356,376,235,287
test,000128,500,367,person,1,Unspecified,0,387,414,204,291
test,000128,500,367,person,1,Unspecified,0,152,174,207,252
test,000128,500,367,person,1,Unspecified,0,99,117,203,244
test,000128,500,367,person,1,Unspecified,1,8,17,206,265
test,000128,500,367,person,1,Unspecified,0,33,51,211,265
test,000128,500,367,person,1,Unspecified,0,51,68,219,265
test,000135,500,375,car,0,Unspecified,0,208,332,194,259
test,000136,500,375,cat,0,Left,0,331,407,205,267
test,000136,500,375,bottle,1,Unspecified,0,356,374,26,70
test,000137,333,500,car,0,Unspecified,0,96,164,430,482
test,000137,333,500,person,1,Unspecified,0,133,142,360,390
test,000137,333,500,person,1,Unspecified,0,122,135,355,392
test,000139,500,334,bicycle,0,Unspecified,0,114,262,124,275
test,000139,500,334,person,0,Unspecified,0,151,265,52,209
test,000139,500,334,person,0,Unspecified,1,1,98,173,334
test,000144,500,333,chair,1,Unspecified,1,396,477,232,330
test,000144,500,333,diningtable,0,Unspecified,1,135,438,191,333
test,000144,500,333,bottle,0,Unspecified,0,221,248,192,276
test,000144,500,333,bottle,0,Unspecified,0,245,265,156,215
test,000144,500,333,person,0,Right,1,2,134,100,333
test,000144,500,333,person,0,Frontal,1,166,279,66,193
test,000144,500,333,person,0,Unspecified,1,351,438,3,304
test,000144,500,333,person,0,Unspecified,1,344,500,8,333
test,000145,500,346,train,0,Unspecified,0,52,380,88,291
test,000145,500,346,train,1,Unspecified,1,412,489,132,288
test,000148,500,360,bird,0,Left,0,131,465,112,312
test,000149,500,375,pottedplant,0,Unspecified,0,114,351,2,361
test,000151,375,500,bottle,0,Unspecified,0,153,375,136,264
test,000151,375,500,person,0,Frontal,1,4,375,49,440
test,000152,500,333,car,0,Frontal,0,60,123,99,152
test,000152,500,333,car,0,Left,1,413,500,93,156
test,000152,500,333,car,0,Left,0,309,421,93,141
test,000152,500,333,car,0,Frontal,0,116,405,82,285
test,000155,360,500,bicycle,1,Unspecified,1,94,134,51,124
test,000155,360,500,bicycle,0,Unspecified,1,122,168,160,255
test,000155,360,500,bicycle,0,Unspecified,0,223,305,288,419
test,000155,360,500,person,0,Unspecified,0,89,137,7,89
test,000155,360,500,person,0,Unspecified,0,114,171,120,208
test,000155,360,500,person,0,Frontal,0,221,299,250,359
test,000157,400,266,cat,0,Unspecified,0,132,378,162,224
test,000157,400,266,chair,0,Frontal,1,34,400,35,266
test,000160,500,375,sofa,0,Unspecified,1,2,336,242,373
test,000166,500,375,person,0,Unspecified,0,324,354,170,285
test,000166,500,375,person,0,Unspecified,1,243,292,180,227
test,000166,500,375,person,0,Unspecified,1,2,22,170,266
test,000166,500,375,person,0,Unspecified,0,26,47,178,230
test,000166,500,375,person,0,Unspecified,0,67,160,114,238
test,000166,500,375,horse,0,Unspecified,0,48,229,163,334
test,000167,500,374,dog,0,Frontal,1,27,478,18,374
test,000168,318,480,person,0,Frontal,0,72,223,102,304
test,000168,318,480,horse,0,Frontal,0,104,201,123,471
test,000172,500,375,car,0,Right,0,29,456,54,321
test,000175,500,332,sheep,0,Unspecified,0,25,419,34,271
test,000176,319,480,sheep,0,Frontal,0,41,148,135,288
test,000176,319,480,sheep,0,Frontal,0,175,287,152,284
test,000176,319,480,sheep,0,Unspecified,1,287,319,216,277
test,000176,319,480,sheep,0,Frontal,1,2,83,208,278
test,000178,500,375,bottle,0,Unspecified,0,240,288,85,254
test,000178,500,375,bottle,0,Unspecified,0,356,397,72,216
test,000178,500,375,bottle,0,Unspecified,0,331,362,60,166
test,000178,500,375,bottle,1,Unspecified,1,302,335,70,158
test,000178,500,375,bottle,1,Unspecified,1,279,310,56,162
test,000178,500,375,bottle,0,Unspecified,0,167,204,65,180
test,000178,500,375,bottle,0,Unspecified,0,202,251,82,244
test,000178,500,375,bottle,1,Unspecified,1,107,139,75,134
test,000178,500,375,bottle,1,Unspecified,1,133,156,74,113
test,000178,500,375,person,0,Unspecified,1,1,102,1,216
test,000178,500,375,person,1,Unspecified,1,80,203,2,120
test,000178,500,375,person,1,Unspecified,1,380,500,4,210
test,000178,500,375,person,1,Unspecified,1,210,351,3,92
test,000178,500,375,person,1,Unspecified,1,335,394,1,107
test,000179,375,500,boat,0,Right,0,269,366,420,467
test,000179,375,500,boat,0,Left,0,85,301,29,493
test,000179,375,500,boat,1,Unspecified,1,1,46,450,474
test,000179,375,500,boat,0,Right,1,1,77,419,465
test,000179,375,500,boat,0,Unspecified,0,221,246,412,457
test,000181,500,375,person,0,Right,1,259,410,159,287
test,000181,500,375,chair,1,Unspecified,1,213,349,175,314
test,000181,500,375,sofa,1,Unspecified,1,1,298,149,375
test,000181,500,375,person,0,Right,1,121,304,154,369
test,000181,500,375,person,0,Unspecified,1,17,277,129,375
test,000181,500,375,person,1,Unspecified,1,1,189,243,375
test,000182,500,375,sofa,1,Unspecified,1,5,500,4,373
test,000182,500,375,person,0,Unspecified,0,114,325,50,372
test,000183,500,375,dog,0,Unspecified,1,77,500,2,338
test,000185,449,500,person,0,Unspecified,0,239,338,239,378
test,000185,449,500,chair,0,Rear,0,280,346,290,390
test,000185,449,500,tvmonitor,0,Frontal,0,254,299,234,289
test,000186,500,373,bird,0,Right,0,58,284,49,362
test,000188,500,264,bus,0,Left,1,89,500,88,200
test,000188,500,264,person,0,Rear,0,29,68,109,215
test,000188,500,264,car,0,Left,1,406,500,146,216
test,000188,500,264,car,0,Left,1,1,139,140,202
test,000191,333,500,person,0,Unspecified,1,29,147,181,499
test,000191,333,500,person,0,Unspecified,1,307,333,222,428
test,000191,333,500,person,1,Unspecified,0,301,310,252,281
test,000191,333,500,person,1,Unspecified,0,293,301,249,272
test,000191,333,500,person,1,Unspecified,1,283,292,251,265
test,000191,333,500,person,1,Unspecified,0,234,244,245,273
test,000191,333,500,person,1,Unspecified,0,224,232,244,271
test,000191,333,500,person,0,Left,0,204,218,244,296
test,000191,333,500,person,1,Unspecified,0,189,197,248,269
test,000191,333,500,person,1,Unspecified,1,180,187,238,252
test,000191,333,500,person,0,Unspecified,0,167,188,245,295
test,000191,333,500,person,0,Unspecified,0,140,155,245,293
test,000191,333,500,person,1,Unspecified,1,123,132,235,250
test,000191,333,500,person,0,Rear,0,224,316,233,438
test,000195,500,375,bus,0,Left,0,6,482,15,373
test,000196,500,375,chair,0,Unspecified,1,1,69,201,356
test,000196,500,375,chair,0,Unspecified,0,75,170,161,298
test,000196,500,375,chair,0,Unspecified,0,270,347,150,261
test,000196,500,375,pottedplant,1,Unspecified,0,359,392,92,131
test,000196,500,375,chair,0,Frontal,1,236,281,153,224
test,000197,500,375,car,0,Left,0,35,466,56,259
test,000199,500,329,bird,0,Left,0,82,383,68,270
test,000201,500,344,person,0,Frontal,1,180,234,72,124
test,000201,500,344,person,0,Unspecified,1,316,376,29,93
test,000201,500,344,person,0,Frontal,0,268,384,81,248
test,000201,500,344,motorbike,0,Unspecified,0,256,378,135,314
test,000201,500,344,motorbike,0,Unspecified,0,326,391,59,134
test,000202,500,375,bottle,0,Unspecified,0,417,500,114,333
test,000202,500,375,person,0,Unspecified,1,1,335,8,375
test,000204,500,375,tvmonitor,0,Frontal,0,211,327,66,174
test,000205,375,500,person,0,Frontal,0,107,304,156,482
test,000205,375,500,dog,0,Unspecified,0,83,241,277,401
test,000205,375,500,sofa,0,Frontal,1,1,374,199,457
test,000206,375,500,person,1,Unspecified,0,301,315,378,412
test,000206,375,500,person,1,Unspecified,0,264,273,378,396
test,000206,375,500,person,1,Unspecified,0,255,266,378,395
test,000206,375,500,person,0,Frontal,1,89,189,349,500
test,000212,500,333,person,0,Unspecified,1,2,198,82,332
test,000212,500,333,person,0,Unspecified,1,139,206,141,195
test,000212,500,333,person,0,Frontal,1,243,288,103,170
test,000212,500,333,person,0,Frontal,1,282,341,100,195
test,000212,500,333,person,1,Unspecified,1,4,30,110,160
test,000212,500,333,person,0,Unspecified,1,265,302,140,193
test,000212,500,333,person,0,Unspecified,1,322,456,133,223
test,000212,500,333,person,0,Unspecified,1,468,499,123,221
test,000212,500,333,person,0,Unspecified,1,431,463,114,184
test,000212,500,333,person,0,Unspecified,1,321,369,60,142
test,000212,500,333,person,0,Rear,1,351,384,68,113
test,000213,375,500,cat,0,Unspecified,1,100,312,69,294
test,000216,500,375,aeroplane,0,Unspecified,0,234,284,170,224
test,000217,500,333,diningtable,0,Unspecified,0,133,409,184,333
test,000217,500,333,chair,0,Right,1,135,235,213,333
test,000217,500,333,chair,0,Right,0,121,200,210,320
test,000217,500,333,chair,0,Rear,1,296,383,224,333
test,000217,500,333,chair,1,Unspecified,1,351,390,192,241
test,000217,500,333,chair,1,Unspecified,1,320,348,182,227
test,000217,500,333,chair,0,Left,1,292,337,169,217
test,000217,500,333,chair,0,Left,1,251,298,167,205
test,000217,500,333,chair,1,Unspecified,1,156,193,172,195
test,000223,500,333,train,0,Frontal,0,156,341,85,290
test,000223,500,333,person,1,Unspecified,0,372,390,259,300
test,000226,500,375,chair,0,Left,1,312,432,250,375
test,000226,500,375,chair,1,Unspecified,1,322,388,221,284
test,000226,500,375,chair,0,Rear,1,74,262,265,375
test,000226,500,375,chair,1,Unspecified,1,458,500,218,310
test,000226,500,375,chair,1,Unspecified,1,422,452,204,257
test,000226,500,375,chair,1,Unspecified,1,164,186,197,240
test,000226,500,375,chair,0,Right,1,51,113,230,375
test,000226,500,375,chair,1,Unspecified,1,2,58,208,313
test,000226,500,375,diningtable,0,Unspecified,1,111,377,242,375
test,000226,500,375,diningtable,1,Unspecified,1,33,129,204,246
test,000226,500,375,person,0,Rear,1,233,296,161,221
test,000226,500,375,person,0,Unspecified,1,352,404,168,243
test,000227,500,354,cat,0,Left,0,220,473,123,354
test,000227,500,354,tvmonitor,0,Unspecified,0,26,177,38,163
test,000230,500,375,bicycle,0,Left,0,162,397,167,357
test,000230,500,375,person,0,Left,0,250,357,72,355
test,000231,500,375,bus,0,Unspecified,0,87,278,110,206
test,000231,500,375,person,0,Frontal,0,337,366,124,227
test,000234,500,376,chair,0,Frontal,0,307,472,92,326
test,000234,500,376,pottedplant,0,Unspecified,0,61,135,231,316
test,000234,500,376,pottedplant,0,Unspecified,0,11,75,150,201
test,000234,500,376,pottedplant,0,Unspecified,0,12,220,51,228
test,000237,480,354,person,0,Right,0,232,337,37,201
test,000237,480,354,horse,0,Right,0,55,387,47,332
test,000238,500,375,train,0,Frontal,1,1,293,1,373
test,000238,500,375,person,0,Unspecified,1,443,490,252,374
test,000239,500,334,bus,0,Left,0,63,468,26,219
test,000239,500,334,person,0,Rear,1,1,33,138,206
test,000239,500,334,person,0,Unspecified,1,29,82,166,238
test,000240,500,375,boat,0,Unspecified,0,410,489,133,172
test,000240,500,375,car,0,Right,0,263,438,175,234
test,000240,500,375,car,0,Frontal,0,60,146,156,221
test,000240,500,375,car,0,Unspecified,1,374,416,154,181
test,000240,500,375,person,0,Frontal,1,348,374,153,189
test,000240,500,375,person,0,Unspecified,1,159,175,153,193
test,000240,500,375,car,0,Unspecified,0,176,206,152,174
test,000240,500,375,boat,1,Unspecified,0,33,51,151,170
test,000240,500,375,boat,1,Unspecified,1,1,13,154,170
test,000243,500,333,aeroplane,0,Unspecified,0,181,274,127,193
test,000247,375,500,chair,0,Frontal,0,2,135,143,319
test,000247,375,500,person,0,Frontal,0,114,273,51,374
test,000247,375,500,person,0,Frontal,0,146,247,143,395
test,000248,500,332,person,0,Unspecified,0,189,308,157,265
test,000248,500,332,horse,0,Unspecified,0,104,313,90,273
test,000252,500,333,car,0,Frontal,0,194,297,168,241
test,000252,500,333,bus,0,Frontal,0,147,283,54,224
test,000252,500,333,person,0,Frontal,1,239,266,112,135
test,000253,500,335,train,0,Unspecified,0,108,350,55,228
test,000254,500,333,car,0,Unspecified,1,197,475,239,333
test,000254,500,333,car,0,Rear,1,1,197,210,333
test,000254,500,333,car,0,Unspecified,1,159,231,247,314
test,000254,500,333,car,1,Unspecified,1,1,41,248,277
test,000254,500,333,car,1,Unspecified,1,45,74,245,274
test,000255,500,333,dog,0,Unspecified,1,2,419,2,332
test,000258,500,333,dog,0,Left,0,192,404,123,333
test,000258,500,333,person,0,Left,1,350,500,27,333
test,000260,500,375,aeroplane,0,Rear,0,55,456,50,235
test,000260,500,375,aeroplane,0,Left,1,394,500,163,212
test,000261,500,375,bicycle,0,Left,0,1,405,76,326
test,000261,500,375,bicycle,0,Right,0,58,408,79,295
test,000264,333,500,motorbike,0,Unspecified,1,2,333,82,500
test,000264,333,500,person,0,Unspecified,0,115,309,47,475
test,000265,500,333,tvmonitor,0,Frontal,0,167,363,8,144
test,000265,500,333,motorbike,1,Unspecified,1,168,282,175,319
test,000265,500,333,person,0,Unspecified,1,131,231,233,333
test,000265,500,333,person,0,Unspecified,1,109,240,179,333
test,000265,500,333,person,0,Unspecified,1,16,134,184,332
test,000265,500,333,person,0,Frontal,1,257,353,29,135
test,000265,500,333,person,0,Frontal,1,3,65,74,259
test,000267,332,500,horse,0,Unspecified,1,80,332,86,500
test,000271,500,321,car,0,Rear,1,414,484,182,237
test,000271,500,321,person,0,Unspecified,0,338,357,189,232
test,000271,500,321,person,0,Unspecified,0,43,62,169,231
test,000272,333,500,person,0,Right,1,25,304,71,500
test,000273,500,375,cow,0,Left,0,235,304,149,184
test,000274,500,375,bird,0,Right,0,49,407,100,303
test,000277,500,375,sofa,0,Frontal,0,14,479,104,321
test,000277,500,375,bottle,1,Unspecified,1,394,434,337,375
test,000279,500,375,person,0,Rear,1,298,373,190,359
test,000279,500,375,person,0,Rear,1,215,302,199,367
test,000279,500,375,person,0,Rear,1,75,213,186,365
test,000280,500,375,bottle,0,Unspecified,0,454,477,153,213
test,000280,500,375,bottle,0,Unspecified,0,480,500,107,173
test,000280,500,375,bottle,0,Unspecified,0,438,458,127,164
test,000280,500,375,person,0,Right,1,153,288,68,325
test,000280,500,375,diningtable,0,Unspecified,1,245,500,153,375
test,000281,500,333,train,0,Right,0,47,436,93,254
test,000283,500,459,person,0,Frontal,0,333,456,110,421
test,000283,500,459,person,0,Frontal,0,82,191,14,301
test,000283,500,459,bicycle,0,Frontal,0,331,436,257,455
test,000283,500,459,bicycle,0,Frontal,0,86,184,130,354
test,000284,500,334,car,0,Frontal,0,201,440,78,256
test,000286,500,375,person,0,Unspecified,1,94,226,218,375
test,000286,500,375,person,0,Frontal,1,189,500,11,375
test,000287,500,375,person,0,Unspecified,0,421,500,65,129
test,000287,500,375,person,1,Unspecified,1,413,500,128,375
test,000287,500,375,person,0,Unspecified,1,7,303,1,374
test,000290,333,500,dog,0,Left,1,88,333,101,500
test,000291,500,375,tvmonitor,0,Frontal,0,176,335,160,291
test,000291,500,375,tvmonitor,0,Frontal,0,1,183,132,308
test,000291,500,375,person,0,Unspecified,1,291,326,102,136
test,000291,500,375,person,0,Unspecified,1,267,303,114,135
test,000292,500,375,cat,0,Frontal,1,94,442,1,374
